1,FEC_ID,STATE,STATE_ABBREVIATION,GENERAL_ELECTION_DATE,FIRST_NAME,LAST_NAME,LAST_NAME_FIRST,TOTAL_VOTES,PARTY,GENERAL_RESULTS,TOTAL_VOTES,GENERAL_PERCT,WINNER_INDICATOR
105,P20002648,Florida,FL,11/6/2012,Erin Kent,Magee,"Magee, Erin Kent",,W,2,,0.00%,
106,n/a,Florida,FL,11/6/2012,Andrew Charles,Coniglio,"Coniglio, Andrew Charles",,W,1,,0.00%,
108,P80003353,Georgia,GA,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,2078688,,53.30%,W
109,P80003338,Georgia,GA,11/6/2012,Barack,Obama,"Obama, Barack",,D,1773827,,45.48%,
110,P20002671,Georgia,GA,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,45324,,1.16%,
111,P20003984,Georgia,GA,11/6/2012,Jill,Stein,"Stein, Jill",,W,1516,,0.04%,
112,P20004685,Georgia,GA,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,432,,0.01%,
113,P20004263,Georgia,GA,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,W,154,,0.00%,
114,P20002903,Georgia,GA,11/6/2012,Darrell,Hykes,"Hykes, Darrell",,W,55,,0.00%,
115,n/a,Georgia,GA,11/6/2012,Jill,Reid,"Reid, Jill",,W,30,,0.00%,
116,P60004454,Georgia,GA,11/6/2012,James,Harris,"Harris, James",,W,21,,0.00%,
117,n/a,Georgia,GA,11/6/2012,David C.,Byrne,"Byrne, David C.",,W,2,,0.00%,
118,P20002648,Georgia,GA,11/6/2012,Erin Kent,Magee,"Magee, Erin Kent",,W,1,,0.00%,
120,P80003338,Hawaii,HI,11/6/2012,Barack,Obama,"Obama, Barack",,D,306658,,70.55%,W
121,P80003353,Hawaii,HI,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,121015,,27.84%,
122,P20002671,Hawaii,HI,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,3840,,0.88%,
123,P20003984,Hawaii,HI,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,3184,,0.73%,
125,P80003353,Idaho,ID,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,420911,,64.53%,W
126,P80003338,Idaho,ID,11/6/2012,Barack,Obama,"Obama, Barack",,D,212787,,32.62%,
127,P20002671,Idaho,ID,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,9453,,1.45%,
128,P20003984,Idaho,ID,11/6/2012,Jill,Stein,"Stein, Jill",,IND,4402,,0.67%,
129,P20004263,Idaho,ID,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,IND,2499,,0.38%,
130,P20004685,Idaho,ID,11/6/2012,Virgil H.,Goode,"Goode, Virgil H.",,CON,2222,,0.34%,
132,P80003338,Illinois,IL,11/6/2012,Barack,Obama,"Obama, Barack",,D,3019512,,57.60%,W
133,P80003353,Illinois,IL,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,2135216,,40.73%,
134,P20002671,Illinois,IL,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,56229,,1.07%,
135,P20003984,Illinois,IL,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,30222,,0.58%,
136,P20004685,Illinois,IL,11/6/2012,"Virgil / Clymer, Jim",Goode,"Goode, Virgil / Clymer, Jim",,W,233,,0.00%,
137,P20004263,Illinois,IL,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,W,185,,0.00%,
138,P20004685,Illinois,IL,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,182,,0.00%,
139,P20003208,Illinois,IL,11/6/2012,Jill,Reed,"Reed, Jill",,W,121,,0.00%,
140,P20005260,Illinois,IL,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,22,,0.00%,
141,P20004974,Illinois,IL,11/6/2012,Michael,Hawkins,"Hawkins, Michael",,W,16,,0.00%,
142,n/a,Illinois,IL,11/6/2012,Tom,Cary,"Cary, Tom",,W,14,,0.00%,
143,P20003208,Illinois,IL,11/6/2012,"Jill / Cary, Tom",Reed,"Reed, Jill / Cary, Tom",,W,10,,0.00%,
144,P20004677,Illinois,IL,11/6/2012,Jerry,White,"White, Jerry",,W,8,,0.00%,
145,P20003836,Illinois,IL,11/6/2012,Cecil,Roth,"Roth, Cecil",,W,5,,0.00%,
146,n/a,Illinois,IL,11/6/2012,Phyllis,Scherrer,"Scherrer, Phyllis",,W,5,,0.00%,
147,n/a,Illinois,IL,11/6/2012,Jim,Clymer,"Clymer, Jim",,W,4,,0.00%,
148,n/a,Illinois,IL,11/6/2012,Barbara,Prokopich,"Prokopich, Barbara",,W,4,,0.00%,
149,P20004677,Illinois,IL,11/6/2012,"Jerry / Scherrer, Phyllis",White,"White, Jerry / Scherrer, Phyllis",,W,4,,0.00%,
150,P20005260,Illinois,IL,11/6/2012,"Tom / Ellis, Jonathan",Hoefling,"Hoefling, Tom / Ellis, Jonathan",,W,3,,0.00%,
151,P20002218,Illinois,IL,11/6/2012,Dennis,Knill,"Knill, Dennis",,W,3,,0.00%,
152,n/a,Illinois,IL,11/6/2012,Roy Wayne,Tyree,"Tyree, Roy Wayne",,W,3,,0.00%,
153,P20002580,Illinois,IL,11/6/2012,Paul,Chehade,"Chehade, Paul",,W,2,,0.00%,
154,P20002580,Illinois,IL,11/6/2012,"Paul / McAllister, Steve",Chehade,"Chehade, Paul / McAllister, Steve",,W,2,,0.00%,
155,P20004651,Illinois,IL,11/6/2012,"Stephen / Lopez, Christina",Durham,"Durham, Stephen / Lopez, Christina",,W,2,,0.00%,
156,n/a,Illinois,IL,11/6/2012,Lynn,Maxwell,"Maxwell, Lynn",,W,2,,0.00%,
157,n/a,Illinois,IL,11/6/2012,James T.,Struck,"Struck, James T.",,W,2,,0.00%,
158,P20004651,Illinois,IL,11/6/2012,Stephen,Durham,"Durham, Stephen",,W,1,,0.00%,
159,n/a,Illinois,IL,11/6/2012,Jonathan,Ellis,"Ellis, Jonathan",,W,1,,0.00%,
160,n/a,Illinois,IL,11/6/2012,Stephen James,Frost,"Frost, Stephen James",,W,1,,0.00%,
162,P80003353,Indiana,IN,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1420543,,54.13%,W
163,P80003338,Indiana,IN,11/6/2012,Barack,Obama,"Obama, Barack",,D,1152887,,43.93%,
164,P20002671,Indiana,IN,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,50111,,1.91%,
165,P20003984,Indiana,IN,11/6/2012,Jill,Stein,"Stein, Jill",,W,625,,0.02%,
166,P20004685,Indiana,IN,11/6/2012,"Virgil H., Jr.",Goode,"Goode, Virgil H., Jr.",,W,290,,0.01%,
167,P20005260,Indiana,IN,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,35,,0.00%,
168,P20003968,Indiana,IN,11/6/2012,Stewart,Alexander,"Alexander, Stewart",,W,17,,0.00%,
169,P20003208,Indiana,IN,11/6/2012,Jill,Reed,"Reed, Jill",,W,8,,0.00%,
170,P20002424,Indiana,IN,11/6/2012,Randall A.,Terry,"Terry, Randall A.",,W,8,,0.00%,
171,P20002218,Indiana,IN,11/6/2012,Dennis,Knill,"Knill, Dennis",,W,7,,0.00%,
172,P20002499,Indiana,IN,11/6/2012,"John A., Jr.",Dummett,"Dummett, John A., Jr.",,W,2,,0.00%,
173,P20004669,Indiana,IN,11/6/2012,Christina,Lopez,"Lopez, Christina",,W,1,,0.00%,
175,P80003338,Iowa,IA,11/6/2012,Barack,Obama,"Obama, Barack",,D,822544,,51.99%,W
176,P80003353,Iowa,IA,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,730617,,46.18%,
177,P20002671,Iowa,IA,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,12926,,0.82%,
178,n/a,Iowa,IA,11/6/2012,,Scattered,Scattered,,W,7442,,0.47%,
179,P20003984,Iowa,IA,11/6/2012,Jill,Stein,"Stein, Jill",,IG,3769,,0.24%,
180,P20004685,Iowa,IA,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,3038,,0.19%,
181,P20005278,Iowa,IA,11/6/2012,Jerry,Litzel,"Litzel, Jerry",,NP,1027,,0.06%,
182,P60004454,Iowa,IA,11/6/2012,James,Harris,"Harris, James",,SWP,445,,0.03%,
183,P80005572,Iowa,IA,11/6/2012,Gloria,La Riva,"La Riva, Gloria",,PSL,372,,0.02%,
185,P80003353,Kansas,KS,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,692634,,59.71%,W
186,P80003338,Kansas,KS,11/6/2012,Barack,Obama,"Obama, Barack",,D,440726,,37.99%,
187,P20002671,Kansas,KS,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,20456,,1.76%,
188,P80005499,Kansas,KS,11/6/2012,Chuck,Baldwin,"Baldwin, Chuck",,REF,5017,,0.43%,
189,P20003984,Kansas,KS,11/6/2012,Jill E.,Stein,"Stein, Jill E.",,W,714,,0.06%,
190,P20004685,Kansas,KS,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,187,,0.02%,
191,P20004263,Kansas,KS,11/6/2012,"Ross ""Rocky"" C.",Anderson,"Anderson, Ross ""Rocky"" C.",,W,95,,0.01%,
192,P20002804,Kansas,KS,11/6/2012,Roseanne C.,Barr,"Barr, Roseanne C.",,W,58,,0.01%,
193,n/a,Kansas,KS,11/6/2012,Kent W.,Bush,"Bush, Kent W.",,W,48,,0.00%,
194,P20002697,Kansas,KS,11/6/2012,Andre,Barnett,"Barnett, Andre",,W,19,,0.00%,
195,P20005260,Kansas,KS,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,12,,0.00%,
