"","South_Dakota_Counties","Democrat","Republican","Others","Year","Voter_turnout_percent","dem_percent","rep_percent","others_percent","County_IND"
"143","Charles Mix",2155,2556,87,2004,82.13,45.7440033963065,54.2559966036935,1.84674166843558,11
"144","Clark",875,1435,17,2004,81.05,37.8787878787879,62.1212121212121,0.735930735930736,12
"145","Clay",3315,2692,129,2004,67.18,55.1856167804228,44.8143832195772,2.14749458964541,13
"146","Codington",4803,7778,170,2004,78.29,38.1766155313568,61.8233844686432,1.35124393927351,14
"147","Corson",972,720,32,2004,66.96,57.4468085106383,42.5531914893617,1.89125295508274,15
"148","Custer",1272,2922,110,2004,80.1,30.3290414878398,69.6709585121602,2.62279446828803,16
"149","Davison",3263,5561,128,2004,79.83,36.9786944696283,63.0213055303717,1.4505893019039,17
"150","Day",1817,1671,52,2004,81.33,52.0928899082569,47.9071100917431,1.49082568807339,18
"151","Deuel",961,1406,45,2004,80.53,40.5999155048585,59.4000844951415,1.90114068441065,19
"152","Dewey",1606,921,37,2004,63.1,63.5536208943411,36.4463791056589,1.46418678274634,20
"153","Douglas",393,1596,23,2004,84.7,19.7586726998492,80.2413273001508,1.15635997988939,21
"154","Edmunds",765,1434,35,2004,79.77,34.7885402455662,65.2114597544338,1.59163256025466,22
"155","Fall river",1326,2413,106,2004,76.41,35.4640278149238,64.5359721850762,2.83498261567264,23
"156","Faulk",418,945,6,2004,79.13,30.6676449009538,69.3323550990462,0.440205429200293,24
"157","Grant",1633,2392,65,2004,78.98,40.5714285714286,59.4285714285714,1.61490683229814,25
"158","Gregory",813,1685,48,2004,73.63,32.5460368294636,67.4539631705364,1.92153722978383,26
"159","Haakon",219,1007,14,2004,80.24,17.862969004894,82.137030995106,1.14192495921697,27
"160","Hamlin",1015,1946,50,2004,82.11,34.2789598108747,65.7210401891253,1.68861870989531,28
"161","Hand",668,1482,37,2004,79.5,31.0697674418605,68.9302325581395,1.72093023255814,29
"162","Hanson",745,1379,26,2004,74.75,35.075329566855,64.924670433145,1.2241054613936,30
"163","Harding",94,704,17,2004,82.82,11.7794486215539,88.2205513784461,2.13032581453634,31
"164","Hughes",2697,6017,121,2004,79.43,30.9501950883636,69.0498049116364,1.38857011705302,32
"165","Hutchinson",1177,2899,71,2004,82.99,28.8763493621197,71.1236506378803,1.74190382728165,33
"166","Hyde",259,631,10,2004,78.25,29.1011235955056,70.8988764044944,1.12359550561798,34
"167","Jackson",508,726,37,2004,70.91,41.1669367909238,58.8330632090762,2.99837925445705,35
"168","Jerauld",482,736,18,2004,79.39,39.5730706075534,60.4269293924466,1.47783251231527,36
"169","Jones",134,565,18,2004,86.67,19.170243204578,80.829756795422,2.57510729613734,37
"170","Kingsbury",1163,1804,47,2004,82.02,39.1978429389956,60.8021570610044,1.58409167509269,38
"171","Lake",2509,3359,139,2004,78.61,42.7573278800273,57.2426721199727,2.36877982276755,39
"172","Lawerence",3857,7489,273,2004,77.3,33.9943592455491,66.0056407544509,2.40613432046536,40
"173","Lincoln",5703,11161,202,2004,84.15,33.8175996204934,66.1824003795066,1.19781783681214,41
"174","Lyman",872,1029,39,2004,74.5,45.8705944239874,54.1294055760126,2.0515518148343,42
"175","Marshall",1201,2017,53,2004,84.06,37.3213175885643,62.6786824114357,1.64698570540709,43
"176","McCook",369,1180,30,2004,80.72,23.8218205293738,76.1781794706262,1.93673337637185,44
"177","McPherson",1099,1242,23,2004,77.2,46.9457496796241,53.0542503203759,0.982486117043998,45
"178","Meade",2941,8347,216,2004,78.05,26.0542168674699,73.9457831325301,1.91353649893692,46
"179","Mellette",361,553,17,2004,72.19,39.4967177242888,60.5032822757112,1.85995623632385,47
"180","Miner",641,810,19,2004,77.85,44.1764300482426,55.8235699517574,1.30944176430048,48
"181","Minnehaha",32314,44189,1129,2004,81.69,42.2388664496817,57.7611335503183,1.47575912055736,49
"182","Moody",1609,1790,52,2004,78.6,47.3374521918211,52.6625478081789,1.52986172403648,50
"183","Pennington",14213,29976,779,2004,79.17,32.1641132408518,67.8358867591482,1.76288216524474,51
"184","Perkins",418,1329,66,2004,79.3,23.9267315397825,76.0732684602175,3.77790497996566,52
"185","Potter",463,1329,66,2004,82.06,25.8370535714286,74.1629464285714,3.68303571428571,53
"186","Roberts",2527,2396,59,2004,75.76,51.3304895388991,48.669510461101,1.19845622587853,54
"187","Sanbron",581,817,28,2004,75.35,41.5593705293276,58.4406294706724,2.00286123032904,55
"188","Shannon",3566,526,122,2004,56.98,87.1456500488759,12.8543499511241,2.98142717497556,56
"189","Spink",1478,2259,37,2004,81.34,39.5504415306396,60.4495584693605,0.99009900990099,57
"190","Stanely",464,1129,30,2004,80.11,29.127432517263,70.872567482737,1.88323917137476,58
"191","Sully",201,702,14,2004,83.62,22.2591362126246,77.7408637873754,1.55038759689922,59
"192","Todd",2543,889,92,2004,65.17,74.0967365967366,25.9032634032634,2.68065268065268,60
"193","Tripp",972,2230,43,2004,80.04,30.3560274828232,69.6439725171768,1.34291068082448,61
"194","Turner",1646,3084,104,2004,80.94,34.7991543340381,65.2008456659619,2.19873150105708,62
"195","Union",3000,3987,61,2004,76.7,42.93688278231,57.06311721769,0.87304994990697,63
"196","Walworth",878,1967,35,2004,73.61,30.8611599297012,69.1388400702988,1.23022847100176,64
"197","Yankton",4237,6003,191,2004,79.93,41.376953125,58.623046875,1.865234375,66
"198","Ziebach",641,447,28,2004,66.88,58.9154411764706,41.0845588235294,2.57352941176471,67
"199","Aurora",513,847,53,2000,70.79,37.7205882352941,62.2794117647059,3.89705882352941,1
"200","Beadle",3216,4347,176,2000,66.97,42.5228084093614,57.4771915906386,2.32711886817401,2
"201","Bennett",377,712,27,2000,59.21,34.6189164370983,65.3810835629017,2.47933884297521,3
"202","Bon Homme",1162,1901,76,2000,72.22,37.9366634018936,62.0633365981064,2.48122755468495,4
"203","Brookings",4546,6212,226,2000,64.24,42.256925079011,57.743074920989,2.10076222346161,5
"204","Brown",7173,9060,323,2000,73.2,44.1877656625393,55.8122343374607,1.9897739173289,6
"205","Brule",818,1268,81,2000,65.61,39.2138063279003,60.7861936720997,3.8830297219559,7
"206","Buffalo",256,140,12,2000,44.06,64.6464646464647,35.3535353535354,3.03030303030303,8
"207","Butte",840,2760,89,2000,62.63,23.3333333333333,76.6666666666667,2.47222222222222,9
"208","Campbell",147,739,31,2000,65.4,16.5914221218962,83.4085778781038,3.49887133182844,10
"209","Charles Mix",1300,2205,74,2000,64.51,37.0898716119829,62.9101283880171,2.11126961483595,11
"210","Clark",791,1272,45,2000,74.39,38.3422200678623,61.6577799321377,2.18128938439166,12
"211","Clay",2638,2363,104,2000,57.19,52.749450109978,47.250549890022,2.07958408318336,13
"212","Codington",4192,6718,228,2000,71.59,38.4234647112741,61.5765352887259,2.08982584784601,14
"213","Corson",549,629,65,2000,55.17,46.6044142614601,53.3955857385399,5.51782682512733,15
"214","Custer",955,2495,123,2000,71,27.6811594202899,72.3188405797101,3.56521739130435,16
"215","Davison",2936,4445,147,2000,65.31,39.7778078851104,60.2221921148896,1.9916000541932,17
"216","Day",1492,1623,82,2000,71.69,47.8972712680578,52.1027287319422,2.63242375601926,18
"217","Deuel",926,1245,53,2000,74.54,42.6531552280055,57.3468447719945,2.44127130354675,19
"218","Dewey",880,761,40,2000,49.2,53.6258379037172,46.3741620962828,2.4375380865326,20
"219","Douglas",363,1311,35,2000,71.84,21.6845878136201,78.3154121863799,2.09080047789725,21
